Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Status,Status_Description,Crime_Category,Weapon_desc,Weapon_cd,Mode_cd
6200    KESTER                       AV,34.1827,-118.4575,08/26/2020,08/24/2020,11:00:00,9,Van Nuys,933,1,37,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Property Crimes,PC,PC_cd,344
4000    TRINITY                      ST,34.0106,-118.2704,10/29/2020,10/28/2020,22:30:00,13,Newton,1354,2,42,F,H,101,STREET,AO,Adult Other,Crimes against Public Order,CAPO,CAPO_cd,913
6000    LASAINE                      AV,34.179,-118.5105,06/14/2020,06/13/2020,21:30:00,10,West Valley,1047,1,40,M,H,707,GARAGE/CARPORT,AO,Adult Other,Property Crimes,PC,PC_cd,1822 0344
6200 S  RIMPAU                       BL,33.9836,-118.3397,12/27/2020,12/24/2020,18:00:00,12,77th Street,1231,1,53,M,B,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,1300 0341 0385 0344 1822
NORDHOFF,34.2337,-118.463,09/17/2020,09/17/2020,07:30:00,19,Mission,1972,1,31,F,H,101,STREET,AA,Adult Arrest,Violent Crimes,VEHICLE,307.0,2000 1309 1814 1310 0913 0906 0416
4200    MURIETTA                     AV,34.1464,-118.4383,6/04/2020 ,4/01/2020 ,12:00:00,9,Van Nuys,985,2,60,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0100 0928 1822
13900    POLK                         ST,34.3238,-118.4387,2/06/2020 ,2/06/2020 ,22:15:00,19,Mission,1904,2,29,M,H,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2000 0401 1813
19100    INGOMAR                      ST,34.212,-118.5492,12/31/2020,12/31/2020,08:30:00,10,West Valley,1001,2,26,F,W,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0400 2000 0913 1814 0444
23200    GONZALES                     DR,34.1657,-118.6321,2/05/2020 ,2/01/2020 ,08:00:00,21,Topanga,2173,1,13,F,W,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1258 1402 0527 1415 1822
13400    CORNELIUS                    ST,34.2796,-118.4239,10/01/2020,09/30/2020,16:00:00,16,Foothill,1611,2,33,M,H,707,GARAGE/CARPORT,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0416 0913 0429
18700    SUNBURST                     ST,34.2346,-118.5403,1/01/2020 ,1/01/2020 ,00:15:00,17,Devonshire,1785,2,27,F,W,103,ALLEY,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0419 0429 0913 0361
10100    BARTEE                       AV,34.2537,-118.4355,4/08/2020 ,4/08/2020 ,20:55:00,19,Mission,1959,2,15,M,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,416
25TH                         ST,34.0147,-118.2445,12/16/2020,12/16/2020,01:40:00,13,Newton,1327,1,33,M,H,102,SIDEWALK,AO,Adult Other,Violent Crimes,HAND GUN,102.0,1100 0432 0430 1309 2004 1218 0913
6700    CEDROS                       AV,34.1925,-118.4531,01/29/2021,12/19/2020,22:51:00,9,Van Nuys,923,1,23,M,W,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,1302 1300 1822 0321 0344
15700    WOODVALE                     RD,34.1529,-118.4749,07/30/2020,07/29/2020,19:30:00,10,West Valley,1089,1,74,F,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 1607 1202 1822 0379 1275 1420
11200    COVELLO                      ST,34.2075,-118.3769,12/23/2020,12/18/2020,13:30:00,15,N Hollywood,1506,2,29,F,H,602,BANK,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0922 0377
7800    CLYBOURN                     AV,34.2121,-118.3638,05/18/2020,05/18/2020,04:20:00,16,Foothill,1698,1,63,M,H,108,PARKING LOT,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 1607
600 E  87TH                         ST,33.9593,-118.2651,1/06/2020 ,1/06/2020 ,15:00:00,18,Southeast,1804,2,22,M,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0400 0416 1814 2000
SHERMAN                      WY,34.2013,-118.4574,11/21/2020,11/19/2020,16:00:00,9,Van Nuys,904,1,78,F,H,101,STREET,IC,Invest Cont,Property Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1822 1202 0344 0346 0390
9700    WENDOVER                     DR,34.1235,-118.429,11/28/2020,11/27/2020,16:00:00,8,West LA,808,1,41,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,0382 0389 0344 0358 1609 0321 0352 1822
6000    VAN NUYS                     BL,34.1794,-118.4487,08/19/2020,08/18/2020,20:00:00,9,Van Nuys,943,1,51,F,O,108,PARKING LOT,IC,Invest Cont,Property Crimes,PC,PC_cd,0358 0344 1300
12000    STRATHERN                    ST,34.2157,-118.3948,8/12/2020 ,8/11/2020 ,23:30:00,16,Foothill,1684,1,27,F,B,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 1300
LEXINGTON                    AV,34.0926,-118.3363,11/25/2020,11/24/2020,17:10:00,6,Hollywood,663,1,31,F,A,102,SIDEWALK,AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0400 0416 0444 0429 1814 2000 1402 0913
1100 E  VERNON                       AV,34.006,-118.2513,06/27/2020,06/27/2020,01:26:00,13,Newton,1346,1,44,M,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,Property Crimes,FIRE,506.0,1501
ETON,34.2047,-118.5955,12/20/2020,12/20/2020,12:30:00,21,Topanga,2136,1,34,M,H,102,SIDEWALK,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1822 0305 0444 0429 0416 0417
11200    LA MAIDA                     ST,34.1584,-118.3746,11/03/2020,9/12/2020 ,12:00:00,15,N Hollywood,1555,1,69,M,W,519,SHORT-TERM VACATION RENTAL,IC,Invest Cont,Property Crimes,PC,PC_cd,2037 0344
4300 S  WESTERN                      AV,34.0052,-118.3089,10/11/2020,10/11/2020,22:15:00,3,Southwest,395,1,36,M,H,102,SIDEWALK,IC,Invest Cont,Violent Crimes,PIPE/METAL PIPE,312.0,1309 0342 0344 1822 0209 0334 0346 0416 0445 0449
900 N  BROADWAY,34.0615,-118.2412,11/15/2020,11/15/2020,12:20:00,1,Central,111,1,33,F,W,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,Property Crimes,PC,PC_cd,1609 0344 1307 0329 1822
41ST                         PL,34.0349,-118.2436,3/09/2020 ,3/07/2020 ,15:00:00,13,Newton,1307,2,52,M,H,101,STREET,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1218 2004 1206 0345 1822
3500    MARMION                      WY,34.0871,-118.2141,08/26/2020,07/25/2020,12:00:00,11,Northeast,1189,1,33,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,Property Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0344 0358 0352
8700    CEDROS                       AV,34.2265,-118.4565,10/06/2020,10/06/2020,00:30:00,19,Mission,1984,2,60,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Crimes against Public Order,CAPO,CAPO_cd,2038 0561
17400    RAINBOW RIDGE                CI,34.286,-118.5138,02/21/2020,02/21/2020,17:36:00,17,Devonshire,1715,1,49,M,A,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,1501 0314 1606 0344 1822
600 S  VIRGIL                       AV,34.0637,-118.287,04/26/2020,04/26/2020,02:40:00,20,Olympic,2029,2,27,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1813 1243 0913 2000 2002 0329 0400 0448 1206
3300 E  OLYMPIC                      BL,34.0191,-118.2083,07/21/2020,07/21/2020,04:30:00,4,Hollenbeck,497,1,22,M,H,210,RESTAURANT/FAST FOOD,IC,Invest Cont,Property Crimes,PC,PC_cd,PC_MO
TARLETON                     ST,34.0245,-118.244,02/24/2020,02/24/2020,11:43:00,13,Newton,1317,1,48,F,O,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,1307 0358 1609 0344 1309
2900    LEEWARD                      AV,34.0587,-118.2869,05/20/2020,05/20/2020,09:30:00,20,Olympic,2039,2,40,F,W,501,SINGLE FAMILY DWELLING,AO,Adult Other,Crimes against Public Order,CAPO,CAPO_cd,2000 0913 1813
8600    BALBOA                       BL,34.2248,-118.5151,8/10/2020 ,8/09/2020 ,08:50:00,17,Devonshire,1795,1,34,M,H,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,PC_MO
LEIMERT                      BL,34.0054,-118.3297,09/14/2020,09/14/2020,15:00:00,3,Southwest,393,1,32,M,B,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 1822 2032
13900    VANOWEN                      ST,34.1976,-118.4356,5/08/2020 ,04/18/2020,12:00:00,9,Van Nuys,916,1,46,M,B,108,PARKING LOT,IC,Invest Cont,Property Crimes,PC,PC_cd,344
5600    IRVINGTON                    PL,34.1152,-118.1962,12/11/2020,12/11/2020,19:50:00,11,Northeast,1118,2,18,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0913 0554 0400 0416
11400    SANTA MONICA                 BL,34.0457,-118.4511,11/17/2020,11/15/2020,13:40:00,8,West LA,853,2,35,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,100
GRIFFITH                     AV,34.0224,-118.2564,3/03/2020 ,3/03/2020 ,09:40:00,13,Newton,1323,2,22,F,H,101,STREET,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2000 0444 0429 0419 0416 0356
5900 S  HOOVER                       ST,33.9864,-118.2871,12/23/2020,12/20/2020,18:00:00,12,77th Street,1239,1,24,F,H,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,1300 0344 0329
COMMONWEALTH,34.0667,-118.2857,12/15/2020,12/15/2020,07:50:00,20,Olympic,2029,1,41,F,W,102,SIDEWALK,AO,Adult Other,Property Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0319 0340 0355 0432 1402 1822 2004
AVENUE 26,34.0845,-118.2232,8/12/2020 ,8/12/2020 ,12:05:00,11,Northeast,1177,2,53,M,H,801,MTA BUS,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0401 0400 1253 0416 1822 0910
SAN FERNANDO,34.1149,-118.2459,12/24/2020,12/24/2020,14:55:00,11,Northeast,1124,2,40,F,B,801,MTA BUS,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1253 0400 1822 0416 0910
400 E  109TH                        ST,33.9374,-118.2681,01/29/2020,01/29/2020,11:30:00,18,Southeast,1844,1,37,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Property Crimes,PC,PC_cd,0344 1822
11500    AVIATION                     BL,33.9298,-118.3784,10/28/2020,10/28/2020,14:48:00,14,Pacific,1499,2,34,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1822 0416
8500    FOOTHILL                     BL,34.2597,-118.3179,02/21/2020,02/21/2020,16:50:00,16,Foothill,1656,2,34,M,O,601,SAVINGS & LOAN,AA,Adult Arrest,Property Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0329 0417
1200 N  MCCADDEN                     PL,34.0926,-118.3375,06/27/2020,06/13/2020,00:05:00,6,Hollywood,663,1,32,M,W,123,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,Property Crimes,PC,PC_cd,1300 1601 0344 0352
3600    WATSEKA                      AV,34.0288,-118.3996,01/17/2020,01/17/2020,03:24:00,14,Pacific,1409,1,23,M,A,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 0385 1300
2000    OUTPOST                      DR,34.1146,-118.3607,04/23/2020,04/22/2020,08:50:00,6,Hollywood,622,1,36,F,W,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,1300 1601 0344 0352
6600    ALCOVE                       AV,34.1903,-118.4128,06/26/2020,06/26/2020,12:50:00,15,N Hollywood,1512,2,39,F,W,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,Crimes against Public Order,VERBAL THREAT,511.0,0421 1813 2000
TAMPA,34.1758,-118.5535,01/16/2020,01/16/2020,12:20:00,10,West Valley,1041,2,16,M,W,101,STREET,AA,Adult Arrest,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0377 1822 0930 1402 2004
11000    HERSHEY                      ST,34.251,-118.3723,06/15/2020,06/14/2020,03:00:00,16,Foothill,1665,2,28,F,A,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,Property Crimes,PC,PC_cd,329
13900    GILMORE                      ST,34.1876,-118.4356,10/31/2020,10/09/2020,14:15:00,9,Van Nuys,926,2,69,M,W,243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0377 0100 1822 1202 0930
300 S  FIGUEROA                     ST,34.0542,-118.2566,8/11/2020 ,8/11/2020 ,08:05:00,1,Central,141,2,47,F,H,503,HOTEL,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0416 2004 1822
18000    CALVERT                      ST,34.1819,-118.5252,06/13/2020,06/13/2020,19:45:00,10,West Valley,1034,1,49,M,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 1822 1609 0321 0352
800 N  LA BREA                      AV,34.0853,-118.3441,5/05/2020 ,5/05/2020 ,18:45:00,7,Wilshire,706,1,41,M,B,242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",IC,Invest Cont,Property Crimes,KNIFE WITH BLADE 6INCHES OR LESS,200.0,1822 0334 1266 0353 2006 0945
100    CATAMARAN                    ST,33.9781,-118.4644,11/17/2020,11/16/2020,23:00:00,14,Pacific,1452,2,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Property Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,329
700 W  81ST                         ST,33.9655,-118.2838,08/24/2020,08/14/2020,19:00:00,12,77th Street,1266,1,27,F,B,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,Property Crimes,PC,PC_cd,0344 1822
HARTFORD                     AV,34.0573,-118.2634,09/16/2020,09/16/2020,18:40:00,2,Rampart,248,1,28,M,H,101,STREET,IC,Invest Cont,Violent Crimes,BLUNT INSTRUMENT,302.0,1822 0416 0445 0334 0432 2047 0906
1600    VINE                         ST,34.0987,-118.3337,4/12/2020 ,4/11/2020 ,23:00:00,6,Hollywood,646,1,64,F,O,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,1202 1300 1601 1606 0344 0352
3700    LEE                          ST,34.0219,-118.1923,07/27/2020,07/27/2020,10:00:00,4,Hollenbeck,479,2,76,F,H,504,OTHER RESIDENCE,IC,Invest Cont,Crimes against Public Order,CAPO,CAPO_cd,2004 0913 2038 0561
600 S  VIRGIL                       AV,34.0634,-118.2871,12/31/2020,12/31/2020,15:00:00,20,Olympic,2029,2,25,F,B,707,GARAGE/CARPORT,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1814 0416
3700    BALDWIN                      ST,34.0704,-118.2013,09/16/2020,09/16/2020,19:30:00,4,Hollenbeck,424,2,5,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Crimes against Public Order,VERBAL THREAT,511.0,0913 0421 1820 1912 1259
700 W  107TH                        ST,33.9391,-118.2869,05/16/2020,05/16/2020,11:20:00,18,Southeast,1841,1,58,F,B,101,STREET,IC,Invest Cont,Crimes against Public Order,CLUB/BAT,304.0,0334 2021 0361 0913 0603 0359 0443
4700 N  MENDOTA                      AV,34.1179,-118.2129,01/17/2024,7/03/2020 ,15:05:00,11,Northeast,1136,2,39,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0100 0928
ROSCOE,34.2442,-118.5362,09/20/2020,09/20/2020,06:00:00,17,Devonshire,1767,2,29,F,H,101,STREET,AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0913 1814 1300 2000 0416 0400
1600    ARLINGTON                    AV,34.0436,-118.3177,6/01/2020 ,6/01/2020 ,02:00:00,20,Olympic,2081,2,25,M,B,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,Property Crimes,PC,PC_cd,329
800 S  BERENDO                      ST,34.0578,-118.2941,5/08/2020 ,5/08/2020 ,03:45:00,20,Olympic,2046,1,45,M,H,103,ALLEY,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0342 2004 0913 0416 0417 0429 0446 0432 1206 1218
1400 E  53RD                         ST,33.9994,-118.2499,01/19/2020,01/19/2020,13:00:00,13,Newton,1365,1,35,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0913 2000 0416 0408 1402
3100    WILSHIRE                     BL,34.0618,-118.2894,11/25/2020,11/25/2020,09:15:00,20,Olympic,2038,2,27,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0913 2000 1243 0400
2800    CANYON                       DR,34.1227,-118.3181,8/01/2020 ,07/13/2020,08:00:00,6,Hollywood,627,1,26,M,W,108,PARKING LOT,IC,Invest Cont,Property Crimes,PC,PC_cd,1300 1601 0344 0377 1606
600 E  83RD                         ST,33.9638,-118.2651,04/23/2020,04/23/2020,02:00:00,12,77th Street,1269,1,33,M,H,108,PARKING LOT,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 0329 1609 1307
9000    BARTEE                       AV,34.2341,-118.4153,06/29/2020,06/29/2020,19:10:00,19,Mission,1979,2,28,F,H,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,1300 0329
HAMILTON,34.1909,-118.3654,5/06/2020 ,5/05/2020 ,23:25:00,15,N Hollywood,1519,1,57,M,W,101,STREET,AO,Adult Other,Violent Crimes,PIPE/METAL PIPE,312.0,1218 1402 2004 0416 0913 1817
500 E  89TH                         ST,33.9556,-118.2665,2/06/2021 ,5/01/2020 ,21:25:00,18,Southeast,1805,2,35,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0917 1822
12400    FILMORE                      ST,34.2858,-118.4024,11/18/2020,11/18/2020,20:15:00,16,Foothill,1602,1,37,M,H,101,STREET,AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0913 0421 0443 0416 0446 0429 0603
18100    KILLION                      ST,34.1708,-118.5273,04/13/2020,4/05/2020 ,19:00:00,10,West Valley,1075,1,35,F,A,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,1822 0385 1300
3100 S  NORMANDIE                    AV,34.0262,-118.3002,6/02/2020 ,6/02/2020 ,02:15:00,3,Southwest,337,1,19,X,X,203,OTHER BUSINESS,IC,Invest Cont,Property Crimes,PC,PC_cd,1609 1607 0329 0342 1402 0327 1822
500 W  61ST                         ST,33.9842,-118.2827,03/13/2020,03/13/2020,17:45:00,12,77th Street,1239,1,24,M,H,101,STREET,IC,Invest Cont,Property Crimes,SEMI-AUTOMATIC PISTOL,109.0,0216 0342 0334 0449 0355 0432 1822 0344
E  24TH                         ST,34.0206,-118.2541,4/02/2020 ,4/02/2020 ,21:00:00,13,Newton,1323,2,55,F,B,124,BUS STOP,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1822 0910 0416
11100    CANTARA                      ST,34.2193,-118.3731,08/16/2020,08/16/2020,18:45:00,16,Foothill,1687,1,39,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Violent Crimes,ROCK/THROWN OBJECT,306.0,0416 0913
1600 N  MANDEVILLE CANYON            RD,34.0949,-118.5111,3/03/2020 ,3/03/2020 ,10:40:00,8,West LA,803,2,55,F,W,104,DRIVEWAY,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0554 0444 0400
14300    CHATSWORTH                   DR,34.2738,-118.4488,5/07/2020 ,4/08/2020 ,13:00:00,19,Mission,1944,2,39,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,1822
1000 E  WASHINGTON                   BL,34.0259,-118.2535,4/12/2020 ,4/12/2020 ,18:00:00,13,Newton,1313,1,46,M,H,108,PARKING LOT,IC,Invest Cont,Property Crimes,PC,PC_cd,344
3300 S  MAIN                         ST,34.0194,-118.2722,02/14/2020,02/14/2020,17:15:00,13,Newton,1331,2,32,F,H,119,"PORCH, RESIDENTIAL",IC,Invest Cont,Crimes against Public Order,CAPO,CAPO_cd,913
4900 W  20TH                         ST,34.0391,-118.3464,04/17/2020,04/17/2020,03:58:00,7,Wilshire,784,2,29,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1814 2000 0400
PARK,34.0757,-118.2605,3/05/2020 ,3/05/2020 ,20:30:00,2,Rampart,218,1,39,M,O,109,PARK/PLAYGROUND,IC,Invest Cont,Crimes against Public Order,MACHETE,215.0,1822 0334 1309
